cluster_id,code,distinct_colors,config_count,extL,extA,extB,trnL,trnA,trnB,max_dE_in_cluster,mean_dE_in_cluster,max_trn_dE_in_cluster,mean_trn_dE_in_cluster,source,source_idx,stack_desc,stack_json
26,anchor_26,4,8,42.58,-2.05,-5.6,80.73,-5.02,4.41,0.6933,0.3618,0.8928,0.4629,enthermal-plus-inboard.json,1853,C272 Clear 6mm / Ar90 7.45mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.45},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
27,anchor_27,2,4,42.65,-2.43,-5.67,77.52,-7.88,4.89,0.053,0.0265,0.1209,0.0604,enthermal-plus-inboard.json,1869,C366 Clear 6mm / Ar90 7.45mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.45},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
28,anchor_28,24,64,42.88,-3.09,-0.49,80.01,-5.91,5.12,0.7825,0.4849,1.2047,0.7199,enthermal-plus-inboard.json,865,SB60 Clear 5mm / Ar90 11.85mm / Clear 5mm / Vacuum 0.25mm / SB60 Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.85},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4}]"
29,anchor_29,7,16,42.97,-1.92,-1.91,75.83,-8.69,5.44,1.1678,0.4106,1.7432,0.5457,enthermal-plus-outboard.json,689,SB60 Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C366 Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.01},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5}]"
30,anchor_30,23,46,43.07,-2.9,-3.3,75.72,-7.66,5.2,1.4576,0.9144,2.5242,1.351,enthermal-plus-inboard.json,29,C366 Clear 4mm / Ar90 13.45mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.45},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
31,anchor_31,18,52,43.15,-1.21,-2.03,76.95,-7.65,5.28,0.791,0.4775,1.0354,0.5548,enthermal-plus-inboard.json,318,SB60 Clear 5mm / Ar90 12.68mm / Clear 4mm / Vacuum 0.25mm / C366 Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.68},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4}]"
32,anchor_32,16,32,43.17,-1.66,-3.88,83.64,-4.81,4.35,0.7775,0.4811,1.4733,0.8444,enthermal-plus-inboard.json,1992,LUMI Clear 6mm / Ar90 7.75mm / C272 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
33,anchor_33,22,44,43.36,-3.11,-2.49,79.34,-5.5,4.92,0.8653,0.6005,1.5016,0.7542,enthermal-plus-inboard.json,43,SB60 Clear 4mm / Ar90 13.44mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.44},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
34,anchor_34,10,20,43.42,-6.04,-4.49,74.18,-7.13,1.89,0.3932,0.1784,0.8727,0.3706,enthermal-plus-inboard.json,708,XTR6129 Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C270 Clear 4mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4}]"
35,anchor_35,7,8,43.44,-3.59,-4.49,83.77,-6.62,4.8,0.824,0.3763,1.9111,0.7868,enthermal.json,47,SB70 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
