Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,C366 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2156,LoE³ 366 S2,Float Glass - 5mm,2003,,0.289,0.0509,19.65,0.2569,0.6378,0.1097,83.82,-6.26,3.38,39.54,-0.71,-3.68,0.0459,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2157,LoE³ 366 S2,Float Glass - 4mm,2002,,0.289,0.0509,19.65,0.2546,0.636,0.1098,83.73,-6.39,3.38,39.56,-0.96,-3.53,0.0461,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2157,LoE³ 366 S2,Float Glass - 5mm,2003,,0.2889,0.0509,19.65,0.2548,0.6337,0.1094,83.61,-6.55,3.41,39.47,-0.94,-3.56,0.0446,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2157,LoE³ 366 S2,Float Glass - 6mm,2004,,0.2888,0.0509,19.66,0.2549,0.628,0.1089,83.31,-6.81,3.46,39.41,-0.93,-3.58,0.0434,Yes,No,,
Enthermal,Q452 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2105,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2013,0.5194,0.0958,77.28,-8.15,3.6,37.23,-2.41,-2.48,0.0139,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2003,0.5168,0.0946,77.12,-8.25,3.66,37.01,-2.48,-2.52,0.0135,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.281,0.0495,20.21,0.2004,0.5149,0.0943,77.01,-8.39,3.68,36.95,-2.46,-2.54,0.0131,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.281,0.0495,20.21,0.199,0.5135,0.0945,76.93,-8.51,3.68,36.98,-2.64,-2.41,0.0132,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.2809,0.0495,20.21,0.1991,0.5117,0.0942,76.81,-8.65,3.7,36.92,-2.62,-2.43,0.0128,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 6mm,2004,,0.2808,0.0495,20.22,0.1992,0.507,0.0939,76.54,-8.88,3.74,36.87,-2.61,-2.44,0.0125,Yes,No,,
Enthermal,SB60 4mm / Vacuum 0.25mm / Clear 4mm,8.15,Clear  4mm,5282,Solarban® 60 S2,Clear Float Glass,413,,0.3488,0.0614,16.28,0.3835,0.7145,0.1091,87.66,-3.63,2.89,39.43,-1.26,-2.48,0.1934,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5283,Solarban® 60 S2,Clear Float Glass,413,,0.3487,0.0614,16.28,0.3792,0.7112,0.1086,87.5,-3.84,2.89,39.34,-1.39,-2.46,0.1898,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5283,Solarban® 60 S2,Clear Float Glass,414,,0.3486,0.0614,16.29,0.3793,0.7064,0.1081,87.27,-4.07,2.94,39.25,-1.43,-2.46,0.1856,Yes,No,,
